date;heure;ville;temperature;humidite;pluie_1h;pluie_24h
08/01/2026;23:22;Varanges;5;99;1.01;0.2
08/01/2026;23:22;Genlis;5;97;0.81;0.2
08/01/2026;23:42;Varanges;5.2;99;0.51;0.3
08/01/2026;23:42;Genlis;5.1;97;0.2;0.2
08/01/2026;23:54;Varanges;5.3;99;0.4;0.3
08/01/2026;23:54;Genlis;5.2;97;0.2;0.2
09/01/2026;02:06;Varanges;6.2;99;0;0.71
09/01/2026;02:06;Genlis;6.3;96;0;0.81
09/01/2026;03:47;Varanges;6.2;98;0;0.71
09/01/2026;03:47;Genlis;6.8;93;0;0.81
09/01/2026;04:44;Varanges;5.7;97;0;0.71
09/01/2026;04:44;Genlis;6.5;92;0;0.81
09/01/2026;05:13;Genlis;6.3;92;0;0.81
